HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
309D674SHZ0896IZL40L8H56XELBCX,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:21 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:21 PDT 2021,,,3NPFYT4IZDKUQ5ZZIOTNCPD0OPUGX0,A1LDS7OIWQ150C,Approved,Sat Apr 24 18:56:45 PDT 2021,Sat Apr 24 19:01:15 PDT 2021,Tue Apr 27 19:01:15 PDT 2021,Sat Apr 24 19:48:34 PDT 2021,,,270,100% (6/6),100% (6/6),100% (6/6),https://wym-mask-images.s3.amazonaws.com/maksssksksss399.png,"[{""height"":42,""label"":""Face"",""left"":305,""top"":93,""width"":29},{""height"":27,""label"":""Face"",""left"":324,""top"":84,""width"":27},{""height"":36,""label"":""Face"",""left"":191,""top"":98,""width"":37},{""height"":36,""label"":""Face"",""left"":155,""top"":60,""width"":28},{""height"":28,""label"":""Face"",""left"":106,""top"":70,""width"":23},{""height"":36,""label"":""Face"",""left"":51,""top"":54,""width"":30},{""height"":33,""label"":""Face"",""left"":236,""top"":54,""width"":39},{""height"":35,""label"":""Face"",""left"":267,""top"":56,""width"":31}]",267,400,,
30EV7DWJTVAF6X29L512USBXM1RY66,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:11 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:11 PDT 2021,,,3BXQMRHWK0E21B1QOMGV5NYTQTMUMR,AQQLPMNOK4BU8,Approved,Sat Apr 24 18:15:11 PDT 2021,Sat Apr 24 18:29:11 PDT 2021,Tue Apr 27 18:29:11 PDT 2021,Sat Apr 24 19:48:16 PDT 2021,,,840,100% (48/48),100% (48/48),100% (48/48),https://wym-mask-images.s3.amazonaws.com/maksssksksss30.png,"[{""height"":40,""label"":""Face"",""left"":56,""top"":41,""width"":38},{""height"":26,""label"":""Face"",""left"":119,""top"":61,""width"":27},{""height"":24,""label"":""Face"",""left"":166,""top"":59,""width"":30},{""height"":33,""label"":""Face"",""left"":220,""top"":31,""width"":29},{""height"":29,""label"":""Face"",""left"":262,""top"":66,""width"":28},{""height"":28,""label"":""Face"",""left"":292,""top"":58,""width"":26},{""height"":30,""label"":""Face"",""left"":334,""top"":131,""width"":31}]",242,400,,
30F94FBDNRZPVNKA7QVBXR5AL0KTBX,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:05 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:05 PDT 2021,,,3SKEMFQBZ4L9DQUA072AUIO04XXK8U,A3AFLE1W4L89MH,Approved,Sat Apr 24 17:56:30 PDT 2021,Sat Apr 24 17:56:40 PDT 2021,Tue Apr 27 17:56:40 PDT 2021,Sat Apr 24 19:48:50 PDT 2021,,,10,100% (2/2),100% (2/2),100% (2/2),https://wym-mask-images.s3.amazonaws.com/maksssksksss479.png,"[{""height"":146,""label"":""Face"",""left"":116,""top"":156,""width"":109}]",400,301,,
30P8I9JKOI02JZ7QBB4DVNT38PF5VP,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:12 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:12 PDT 2021,,,3PZDLQMM0U1G8DGXSDCBW8YPDOV2CV,A8WLUSYBOT7MS,Approved,Sat Apr 24 17:43:18 PDT 2021,Sat Apr 24 17:44:21 PDT 2021,Tue Apr 27 17:44:21 PDT 2021,Sat Apr 24 19:48:22 PDT 2021,,,63,100% (15/15),100% (15/15),100% (15/15),https://wym-mask-images.s3.amazonaws.com/maksssksksss153.png,"[{""height"":23,""label"":""Face"",""left"":89,""top"":21,""width"":23},{""height"":23,""label"":""Face"",""left"":289,""top"":21,""width"":22}]",268,400,,
30U1YOGZGABHVK5FWMHRICXOM2JDS0,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:16 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:16 PDT 2021,,,3Y5140Z9DYW3DN33MLJ93O4D137PI7,A3E3R2Y577HGEN,Approved,Sat Apr 24 17:49:11 PDT 2021,Sat Apr 24 17:55:14 PDT 2021,Tue Apr 27 17:55:14 PDT 2021,Sat Apr 24 19:48:25 PDT 2021,,,363,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss348.png,"[{""height"":115,""label"":""Face"",""left"":86,""top"":189,""width"":102}]",400,301,,
30UZJB2POHRI7Q57R1Y7CS1KH5M35Q,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:07 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:07 PDT 2021,,,3U5JL4WY5LPEEP6FNNRM30GXYKFX4O,A176RI4BEE308Z,Approved,Sat Apr 24 17:49:44 PDT 2021,Sat Apr 24 17:50:09 PDT 2021,Tue Apr 27 17:50:09 PDT 2021,Sat Apr 24 19:48:55 PDT 2021,,,25,100% (27/27),100% (27/27),100% (27/27),https://wym-mask-images.s3.amazonaws.com/maksssksksss505.png,"[{""height"":111,""label"":""Face"",""left"":60,""top"":107,""width"":110}]",400,267,,
30Y6N4AHYPB5U552HXHMS2SS000DRC,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:16 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:16 PDT 2021,,,33ISQZVXPQ2T6V8ZP61H8L7BPF8CCE,AQQLPMNOK4BU8,Approved,Sat Apr 24 17:47:42 PDT 2021,Sat Apr 24 17:49:01 PDT 2021,Tue Apr 27 17:49:01 PDT 2021,Sat Apr 24 19:48:28 PDT 2021,,,79,100% (48/48),100% (48/48),100% (48/48),https://wym-mask-images.s3.amazonaws.com/maksssksksss186.png,"[{""height"":63,""label"":""Face"",""left"":87,""top"":56,""width"":48}]",400,267,,
30Z7M1Q8UYZ1ETNUYEKKBKPHP5F8AT,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:12 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:12 PDT 2021,,,31Z0PCVWULV4GVFEKBOWH9F1CQHT7L,A3E3R2Y577HGEN,Approved,Sat Apr 24 17:50:25 PDT 2021,Sat Apr 24 17:56:10 PDT 2021,Tue Apr 27 17:56:10 PDT 2021,Sat Apr 24 19:48:21 PDT 2021,,,345,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss148.png,"[{""height"":116,""label"":""Face"",""left"":1,""top"":20,""width"":80},{""height"":62,""label"":""Face"",""left"":68,""top"":95,""width"":56},{""height"":40,""label"":""Face"",""left"":116,""top"":104,""width"":24},{""height"":116,""label"":""Face"",""left"":151,""top"":89,""width"":96},{""height"":79,""label"":""Face"",""left"":325,""top"":77,""width"":72},{""height"":59,""label"":""Face"",""left"":243,""top"":120,""width"":40}]",364,400,,
30ZKOOGW2WLJ3T39ZTB5WA29BZ91A2,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:11 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:11 PDT 2021,,,37ZHEEHM6X2ZHEHK5WI5ZWB3IR773L,A32BUVD6WINH9U,Approved,Sat Apr 24 18:13:04 PDT 2021,Sat Apr 24 18:13:14 PDT 2021,Tue Apr 27 18:13:14 PDT 2021,Sat Apr 24 19:48:20 PDT 2021,,,10,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss141.png,"[{""height"":59,""label"":""Face"",""left"":129,""top"":96,""width"":46},{""height"":46,""label"":""Face"",""left"":220,""top"":123,""width"":40}]",267,400,,
311HQEI8RSVYFNQJ018DEDKVN6FZ7X,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:24 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:24 PDT 2021,,,39PAAFCODNG6RLGA29RCNNV4Y8QVTH,A176RI4BEE308Z,Approved,Sat Apr 24 18:09:18 PDT 2021,Sat Apr 24 18:09:54 PDT 2021,Tue Apr 27 18:09:54 PDT 2021,Sat Apr 24 19:48:41 PDT 2021,,,36,100% (27/27),100% (27/27),100% (27/27),https://wym-mask-images.s3.amazonaws.com/maksssksksss437.png,"[{""height"":46,""label"":""Face"",""left"":82,""top"":43,""width"":31},{""height"":20,""label"":""Face"",""left"":131,""top"":111,""width"":16},{""height"":17,""label"":""Face"",""left"":145,""top"":114,""width"":10},{""height"":30,""label"":""Face"",""left"":205,""top"":109,""width"":27},{""height"":29,""label"":""Face"",""left"":276,""top"":102,""width"":26}]",267,400,,
31ANT7FQN8HX1YC66MN9GM2U0A45HZ,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:06 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:06 PDT 2021,,,3MRNMEIQW6MWER8J2FPRVAFG4OYDLV,AQQLPMNOK4BU8,Approved,Sat Apr 24 17:45:55 PDT 2021,Sat Apr 24 17:46:21 PDT 2021,Tue Apr 27 17:46:21 PDT 2021,Sat Apr 24 19:48:53 PDT 2021,,,26,100% (48/48),100% (48/48),100% (48/48),https://wym-mask-images.s3.amazonaws.com/maksssksksss494.png,"[{""height"":78,""label"":""Face"",""left"":91,""top"":80,""width"":72}]",400,267,,
31ANT7FQN8HX1YC66MN9GM2U0A4H5B,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:26 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:26 PDT 2021,,,3VNXK88KKDYN767W43MVWNUS41LV9F,A2NSRHX8GMEMV0,Approved,Sat Apr 24 17:51:00 PDT 2021,Sat Apr 24 17:51:09 PDT 2021,Tue Apr 27 17:51:09 PDT 2021,Sat Apr 24 19:48:46 PDT 2021,,,9,100% (145/145),100% (145/145),100% (145/145),https://wym-mask-images.s3.amazonaws.com/maksssksksss458.png,"[{""height"":26,""label"":""Face"",""left"":22,""top"":110,""width"":25},{""height"":57,""label"":""Face"",""left"":105,""top"":86,""width"":44},{""height"":41,""label"":""Face"",""left"":146,""top"":118,""width"":36}]",267,400,,
31GECDVA9J1DNDS3FM6AB1R4NRZ66F,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:18 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:18 PDT 2021,,,31UV0MXWNRSZKDLK26AV5IZWA3A5I5,A1L10BVA0EK7VY,Approved,Sat Apr 24 18:17:13 PDT 2021,Sat Apr 24 18:36:15 PDT 2021,Tue Apr 27 18:36:15 PDT 2021,Sat Apr 24 19:48:30 PDT 2021,,,1142,100% (21/21),100% (21/21),100% (21/21),https://wym-mask-images.s3.amazonaws.com/maksssksksss374.png,"[{""height"":30,""label"":""Face"",""left"":183,""top"":21,""width"":32},{""height"":22,""label"":""Face"",""left"":28,""top"":91,""width"":24},{""height"":39,""label"":""Face"",""left"":191,""top"":143,""width"":34},{""height"":31,""label"":""Face"",""left"":314,""top"":30,""width"":31},{""height"":25,""label"":""Face"",""left"":92,""top"":64,""width"":31}]",240,400,,
31GN6YMHLP7G4Q56DHMHA0M9TIOWSR,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:14 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:14 PDT 2021,,,373ERPL3YPOEYEZTTPM2MQ61D2DTRM,A2FWRZLIE1I60V,Approved,Sat Apr 24 18:07:47 PDT 2021,Sat Apr 24 18:08:20 PDT 2021,Tue Apr 27 18:08:20 PDT 2021,Sat Apr 24 19:48:20 PDT 2021,,,33,100% (38/38),100% (38/38),100% (38/38),https://wym-mask-images.s3.amazonaws.com/maksssksksss323.png,"[{""height"":89,""label"":""Face"",""left"":322,""top"":257,""width"":46}]",376,400,,
31HLTCK4BLA0ZWWAS7N4ZKKSYYTGVI,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:21 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:21 PDT 2021,,,3YMU66OBIOOX4FZKDKB193P60Z9GH5,A32BUVD6WINH9U,Approved,Sat Apr 24 18:19:12 PDT 2021,Sat Apr 24 18:19:27 PDT 2021,Tue Apr 27 18:19:27 PDT 2021,Sat Apr 24 19:48:40 PDT 2021,,,15,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss250.png,"[{""height"":43,""label"":""Face"",""left"":180,""top"":64,""width"":42},{""height"":38,""label"":""Face"",""left"":85,""top"":65,""width"":33},{""height"":28,""label"":""Face"",""left"":135,""top"":36,""width"":19},{""height"":43,""label"":""Face"",""left"":26,""top"":42,""width"":33},{""height"":53,""label"":""Face"",""left"":341,""top"":32,""width"":44}]",267,400,,
31J7RYECZL50ZCUDWK0V5OIK5B81LK,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:18 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:18 PDT 2021,,,3RKNTXVS3NE2ICYMCDZ8JS5ZXZ74AS,ABFJSOC07JFH2,Approved,Sat Apr 24 17:52:36 PDT 2021,Sat Apr 24 17:52:43 PDT 2021,Tue Apr 27 17:52:43 PDT 2021,Sat Apr 24 19:48:29 PDT 2021,,,7,100% (7/7),100% (7/7),100% (7/7),https://wym-mask-images.s3.amazonaws.com/maksssksksss37.png,"[{""height"":155,""label"":""Face"",""left"":78,""top"":110,""width"":114}]",400,301,,
31JUPBOORNJIACEYV59AKY5SJHDL8N,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:08 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:08 PDT 2021,,,3QL2OFSM97YCXZ5QEWAVOW1NOJONC9,A3KAJ085J9OR0Z,Approved,Sat Apr 24 18:05:34 PDT 2021,Sat Apr 24 18:05:47 PDT 2021,Tue Apr 27 18:05:47 PDT 2021,Sat Apr 24 19:48:56 PDT 2021,,,13,100% (28/28),100% (28/28),100% (28/28),https://wym-mask-images.s3.amazonaws.com/maksssksksss513.png,"[{""height"":38,""label"":""Face"",""left"":75,""top"":45,""width"":31},{""height"":29,""label"":""Face"",""left"":112,""top"":39,""width"":28},{""height"":31,""label"":""Face"",""left"":184,""top"":49,""width"":29}]",400,267,,
